condition,policy,priority,seed,trial,target_width_ms,host_width_ms,measured_width_ms,residual_ms,rise_s,fall_s
load,SCHED_OTHER,0,20260808,220,19.8101,21.8872,21.8649,1.3056,22.754860,22.776725
load,SCHED_OTHER,0,20260808,221,31.4753,31.4917,31.4666,-0.7707,22.826894,22.858361
load,SCHED_OTHER,0,20260808,222,19.3570,19.3653,19.3387,-0.7670,22.955899,22.975238
load,SCHED_OTHER,0,20260808,223,40.6633,40.6761,40.6584,-0.7770,23.064445,23.105104
load,SCHED_OTHER,0,20260808,224,17.5439,18.4477,18.4177,0.1271,23.130272,23.148690
load,SCHED_OTHER,0,20260808,225,23.4802,23.5015,23.4731,-0.7604,23.236937,23.260410
load,SCHED_OTHER,0,20260808,226,12.4881,13.1085,13.0799,-0.1494,23.337615,23.350695
load,SCHED_OTHER,0,20260808,227,49.8066,51.8425,51.8230,1.2343,23.398872,23.450695
load,SCHED_OTHER,0,20260808,228,17.0052,17.0291,17.0018,-0.7496,23.478876,23.495878
load,SCHED_OTHER,0,20260808,229,47.5055,47.5209,47.4874,-0.7977,23.582114,23.629601
load,SCHED_OTHER,0,20260808,230,37.1766,37.2060,37.1721,-0.7728,23.710766,23.747938
load,SCHED_OTHER,0,20260808,231,27.6806,27.6914,27.6620,-0.7764,23.847181,23.874843
load,SCHED_OTHER,0,20260808,232,44.6110,46.6643,46.6396,1.2521,23.934043,23.980682
load,SCHED_OTHER,0,20260808,233,8.8614,8.8839,8.8586,-0.7400,24.050881,24.059740
load,SCHED_OTHER,0,20260808,234,11.3722,13.7871,13.7720,1.6598,24.147902,24.161674
load,SCHED_OTHER,0,20260808,235,43.8447,45.8201,45.8000,1.1797,24.252885,24.298685
load,SCHED_OTHER,0,20260808,236,34.4729,35.8382,35.8328,0.5946,24.323837,24.359670
load,SCHED_OTHER,0,20260808,237,46.3907,49.8567,49.8276,2.6585,24.398854,24.448681
load,SCHED_OTHER,0,20260808,238,44.3531,46.7708,46.7315,1.6023,24.528935,24.575666
load,SCHED_OTHER,0,20260808,239,26.6864,27.7706,27.7513,0.3081,24.666902,24.694654
load,SCHED_OTHER,0,20260808,240,49.4227,49.4352,49.3963,-0.8081,24.725830,24.775226
load,SCHED_OTHER,0,20260808,241,5.6745,6.2730,6.2475,-0.1607,24.812410,24.818657
load,SCHED_OTHER,0,20260808,242,34.3058,36.8412,36.8199,1.7490,24.848825,24.885645
load,SCHED_OTHER,0,20260808,243,30.6999,32.8105,32.7831,1.3221,24.975882,25.008665
load,SCHED_OTHER,0,20260808,244,33.5417,33.8443,33.8344,-0.4716,25.021822,25.055657
load,SCHED_OTHER,0,20260808,245,19.4215,19.8397,19.8050,-0.3653,25.133859,25.153664
load,SCHED_OTHER,0,20260808,246,22.2334,22.8590,22.8294,-0.1559,25.198840,25.221670
